,0
1063,PER3
1064,PFDN4
1065,PFDN5
1066,PFKFB3
1067,PFKP
1068,PFN1
1069,PGS1
1070,PHB2
1071,PHC3
1072,PHF14
1073,PHF20
1074,PHKB
1075,PHLDB2
1076,PHPT1
1077,PIAS2
1078,PIBF1
1079,PID1
1080,PIGT
1081,PIGX
1082,PIK3C2B
1083,PIK3C3
1084,PIK3R5
1085,PILRB
1086,PIM1
1087,PIP4K2A
1088,PITPNA
1089,PITPNC1
1090,PKD2L2
1091,PLA2G4A
1092,PLAUR
1093,PLCB1
1094,PLCL2
1095,PLD1
1096,PLEKHA2
1097,PLEKHA7
1098,PLEKHG2
1099,PLEKHM2
1100,PLEKHM3
1101,PLK3
1102,PLP2
1103,PLSCR1
1104,PLXNA2
1105,PLXNA4
1106,PLXNC1
1107,PLXND1
1108,PNO1
1109,PNRC1
1110,PNRC2
1111,POLD4
1112,POLE3
1113,POLR2E
1114,POLR2J
1115,POT1
1116,POU2F2
1117,PPARG
1118,PPCS
1119,PPDPF
1120,PPIG
1121,PPM1G
1122,PPM1H
1123,PPP1CA
1124,PPP1CB
1125,PPP1R15A
1126,PPP1R15B
1127,PPP1R21
1128,PPP2CA
1129,PPP2CB
1130,PPP2R2B
1131,PPP3CC
1132,PPP3R1
1133,PPTC7
1134,PQBP1
1135,PRDX5
1136,PRDX6
1137,PREB
1138,PREX1
1139,PRICKLE1
1140,PRIMPOL
1141,PRKACA
1142,PRKAG2
1143,PRKAR1B
1144,PRKCA
1145,PRKCB
1146,PRKCE
1147,PRKCH
1148,PRKX
1149,PRLR
1150,PRPF19
1151,PRR13
1152,PRR5L
1153,PSD3
1154,PSEN1
1155,PSMA1
1156,PSMB4
1157,PSME1
1158,PTK2
1159,PTK2B
1160,PTMA
1161,PTP4A2
1162,PTPN1
1163,PTPN2
1164,PTPRA
1165,PTPRC
1166,PTPRE
1167,PTPRM
1168,PTPRO
1169,PTRH2
1170,PYCARD
1171,PYHIN1
1172,PYURF
1173,PZP
1174,R3HDM2
1175,RAB11A
1176,RAB11B
1177,RAB11FIP1
1178,RAB1B
1179,RAB30
1180,RAB31
1181,RAB5C
1182,RAB7A
1183,RABGEF1
1184,RAC1
1185,RAC2
1186,RAD23A
1187,RAD52
1188,RALGAPA2
1189,RAN
1190,RANBP1
1191,RAP1GAP2
1192,RAPGEF1
1193,RASA1
1194,RASGEF1B
1195,RB1CC1
1196,RBBP8
1197,RBFOX2
1198,RBKS
1199,RBM12B
1200,RBM22
1201,RBM33
1202,RBM4
1203,RBM42
1204,RBMS1
1205,RCOR3
1206,RDX
1207,REL
1208,RELB
1209,RERE
1210,RETSAT
1211,REV3L
1212,RFX2
1213,RGCC
1214,RGL1
1215,RGPD8
1216,RGS1
1217,RGS2
1218,RGS7
1219,RHBDD1
1220,RHEB
1221,RHOA
1222,RHOB
1223,RHOC
1224,RHOH
1225,RIMKLB
1226,RIPK2
1227,RLF
1228,RMDN1
1229,RMND1
1230,RNF111
1231,RNF123
1232,RNF125
1233,RNF13
1234,RNF144A
1235,RNF144B
1236,RNF149
1237,RNF165
1238,RNF168
1239,RNF170
1240,RNF181
1241,RNF185
1242,RNF19B
1243,RNF213
1244,RNF217
1245,RNF24
1246,RNF7
1247,RNLS
1248,ROCK1
1249,ROMO1
1250,ROR1
1251,ROR2
1252,RORA
1253,RPF1
1254,RPGR
1255,RPH3AL
1256,RPL10
1257,RPL10A
1258,RPL11
1259,RPL12
1260,RPL13
1261,RPL13A
1262,RPL14
1263,RPL15
1264,RPL18
1265,RPL18A
1266,RPL19
1267,RPL21
1268,RPL22
1269,RPL23
1270,RPL24
1271,RPL26
1272,RPL27
1273,RPL27A
1274,RPL28
1275,RPL29
1276,RPL3
1277,RPL30
1278,RPL32
1279,RPL34
1280,RPL35
1281,RPL35A
1282,RPL36
1283,RPL36AL
1284,RPL37
1285,RPL39
1286,RPL4
1287,RPL41
1288,RPL5
1289,RPL6
1290,RPL7A
1291,RPL8
1292,RPL9
1293,RPLP0
1294,RPLP1
1295,RPN1
1296,RPP38
1297,RPS10
1298,RPS11
1299,RPS12
1300,RPS13
1301,RPS14
1302,RPS15
1303,RPS15A
1304,RPS17
1305,RPS18
1306,RPS19
1307,RPS20
1308,RPS21
1309,RPS23
1310,RPS24
1311,RPS25
1312,RPS27
1313,RPS27A
1314,RPS28
1315,RPS29
1316,RPS3
1317,RPS3A
1318,RPS4X
1319,RPS5
1320,RPS6
1321,RPS6KA2
1322,RPS6KA3
1323,RPS6KA5
1324,RPS6KC1
1325,RPS7
1326,RPS8
1327,RPS9
1328,RPSA
1329,RRBP1
1330,RREB1
1331,RRP12
1332,RSL1D1
1333,RSL24D1
1334,RTN1
1335,RUNX1
1336,RUNX2
1337,RUVBL2
1338,RWDD1
1339,S100A10
1340,S100A11
1341,S100A6
1342,SAMD8
1343,SAMSN1
1344,SAP30L-AS1
1345,SCAF8
1346,SCML1
1347,SCOC
1348,SDC2
1349,SDCBP
1350,SDCCAG8
1351,SDHD
1352,SDK2
1353,SEC61B
1354,SEC63
1355,SEL1L3
1356,SEMA3C
1357,SEMA4D
1358,SENP5
1359,SERF2
1360,SERGEF
1361,SERINC1
1362,SERPINB9
1363,SERPINF1
1364,SERTAD1
1365,SESN1
1366,SESN3
1367,SF3A3
1368,SF3B5
1369,SFMBT2
1370,SGCD
1371,SGMS1
1372,SGMS2
1373,SGPL1
1374,SH3BGRL3
1375,SH3BP5
1376,SH3KBP1
1377,SH3PXD2A
1378,SH3PXD2B
1379,SH3RF3
1380,SHPRH
1381,SIK2
1382,SIK3
1383,SIPA1L1
1384,SIVA1
1385,SKAP1
1386,SKIL
1387,SLC10A7
1388,SLC16A1
1389,SLC16A10
1390,SLC16A4
1391,SLC16A7
1392,SLC19A2
1393,SLC20A1
1394,SLC22A15
1395,SLC22A23
1396,SLC25A13
1397,SLC25A25
1398,SLC25A33
1399,SLC25A5
1400,SLC27A4
1401,SLC2A3
1402,SLC2A4RG
1403,SLC30A6
1404,SLC35E4
1405,SLC36A1
1406,SLC38A6
1407,SLC39A11
1408,SLC39A8
1409,SLC3A1
1410,SLC41A2
1411,SLC7A1
1412,SLC7A6OS
1413,SLC8A1
1414,SLC8A1-AS1
1415,SLC9A9
1416,SLC9B2
1417,SLCO3A1
1418,SLTM
1419,SLX4IP
1420,SMAD1
1421,SMAD3
1422,SMAD7
1423,SMARCAD1
1424,SMC4
1425,SMG7
1426,SMNDC1
1427,SMYD3
1428,SNED1
1429,SNHG7
1430,SNRPC
1431,SNRPD2
1432,SNRPD3
1433,SNTB1
1434,SNX13
1435,SNX24
1436,SNX29
1437,SNX30
1438,SOD2
1439,SPAG9
1440,SPAST
1441,SPATA13
1442,SPATA6
1443,SPICE1
1444,SPIN1
1445,SPON2
1446,SPRYD3
1447,SPSB1
1448,SPTSSA
1449,SPTY2D1
1450,SRBD1
1451,SREBF1
1452,SREBF2
1453,SREK1
1454,SRGAP3
1455,SRGN
1456,SRP14
1457,SRP72
1458,SRSF9
1459,SSBP2
1460,SSBP3
1461,SSPN
1462,SSR2
1463,SSR3
1464,SSRP1
1465,ST13
1466,ST18
1467,ST3GAL2
1468,ST3GAL6
1469,ST6GAL1
1470,ST7L
1471,ST8SIA4
1472,STAMBPL1
1473,STARD13
1474,STARD4-AS1
1475,STARD9
1476,STAT3
1477,STAT4
1478,STAU2
1479,STEAP1B
1480,STIM1
1481,STIM2
1482,STK10
1483,STK17B
1484,STK32B
1485,STK39
1486,STK40
1487,STON2
1488,STX2
1489,STX4
1490,SUMO2
1491,SUMO3
1492,SVIL
1493,SYAP1
1494,SYNE1
1495,SYNE2
1496,SYNGR2
1497,SYNJ2
1498,SYT1
1499,SYTL3
1500,SYVN1
1501,TACC1
1502,TACR1
1503,TAF13
1504,TAGLN2
1505,TAMM41
1506,TAPT1-AS1
1507,TAX1BP1
1508,TBC1D12
1509,TBC1D14
1510,TBC1D19
1511,TBC1D22A
1512,TBC1D4
1513,TBC1D5
1514,TBC1D8
1515,TBC1D9
1516,TBCEL
1517,TBCK
1518,TBL1XR1
1519,TC2N
1520,TCAIM
1521,TCERG1
1522,TCF7L2
1523,TCHP
1524,TCOF1
1525,TCTA
1526,TEX14
1527,TFB1M
1528,TFCP2
1529,TFRC
1530,TGFBR1
1531,TGFBR2
1532,TGFBR3
1533,THEMIS
1534,THEMIS2
1535,THYN1
1536,TIAM1
1537,TICAM1
1538,TIMM23B
1539,TIMM8B
1540,TIMP2
1541,TLE1
1542,TLE3
1543,TLE4
1544,TLR2
1545,TMA7
1546,TMCC1
1547,TMEM135
1548,TMEM159
1549,TMEM161B
1550,TMEM164
1551,TMEM176A
1552,TMEM176B
1553,TMEM219
1554,TMEM243
1555,TMEM256
1556,TMEM258
1557,TMEM41B
1558,TMEM70
1559,TMEM80
1560,TMF1
1561,TMLHE
1562,TMLHE-AS1
1563,TMOD2
1564,TMOD3
1565,TMSB10
1566,TMSB4X
1567,TNFAIP3
1568,TNFAIP6
1569,TNFAIP8
1570,TNFRSF10B
1571,TNFRSF21
1572,TNFRSF25
1573,TNFSF13B
1574,TNIK
1575,TNRC18
1576,TOB2
1577,TOMM20
1578,TOMM22
1579,TOP1
1580,TOX
1581,TP53
1582,TP53BP2
1583,TP53INP1
1584,TPCN1
1585,TPD52
1586,TPM2
1587,TPM3
1588,TPP2
1589,TPRG1
1590,TPT1
1591,TPT1-AS1
1592,TRABD2A
1593,TRAF3
1594,TRAK1
1595,TRAK2
1596,TRANK1
1597,TRAPPC1
1598,TRAPPC8
1599,TRDMT1
1600,TRERF1
1601,TRIM13
1602,TRIM24
1603,TRIM47
1604,TRIM5
1605,TRIM56
1606,TRMT10B
1607,TRMT11
1608,TRMT13
1609,TRPC1
1610,TRPS1
1611,TSC22D1
1612,TSC22D2
1613,TSPAN18
1614,TSPYL2
1615,TSR2
1616,TTC12
1617,TTC19
1618,TTC21B
1619,TTC27
1620,TTC28
1621,TTC33
1622,TTC39B
1623,TTC7A
1624,TTF2
1625,TTLL11
1626,TTN
1627,TTN-AS1
1628,TUBA1B
1629,TUBA1C
1630,TUBB
1631,TUBB6
1632,TWISTNB
1633,TWSG1
1634,TXK
1635,TXLNA
1636,TXN
1637,TXN2
1638,TXNDC17
1639,TYMP
1640,TYROBP
1641,UAP1
1642,UBA52
1643,UBAP1L
1644,UBASH3B
1645,UBC
1646,UBE2J1
1647,UBE2L6
1648,UBE3B
1649,UBE3D
1650,UBQLN2
1651,UBXN1
1652,UFL1-AS1
1653,ULK2
1654,UQCC1
1655,UQCR10
1656,UQCRB
1657,UQCRC1
1658,UQCRQ
1659,USP1
1660,USP24
1661,USP3-AS1
1662,USP4
1663,USP45
1664,USP46
1665,UTP3
1666,UTRN
1667,UXT
1668,VAMP5
1669,VASH1
1670,VAV1
1671,VCAN
1672,VDAC1
1673,VEGFB
1674,VEZT
1675,VIM
1676,VMP1
1677,VPS13B
1678,VPS36
1679,VPS37B
1680,VPS41
